0001.wav|Olá! Eu sou o teu robô.
0002.wav|Bom dia! Dormiste bem?
0003.wav|Boa noite. Até amanhã.
0004.wav|Estou aqui. Diz-me o que precisas.
0005.wav|Não percebi. Podes repetir mais devagar?
0006.wav|Já vou! Espera só um segundo.
0007.wav|Isso é uma boa pergunta.
0008.wav|Deixa-me pensar um bocadinho.
0009.wav|Acho que me enganei. Desculpa.
0010.wav|A minha bateria está fraca. Preciso de carregar.
0011.wav|Estou quase sem energia. Levas-me ao carregador?
0012.wav|Tenho de parar. A bateria está no fim.
0013.wav|Não consigo passar por aqui. Está alguma coisa no caminho.
0014.wav|Cuidado! Há um degrau à minha frente.
0015.wav|Vou andar para a frente.
0016.wav|Vou virar à esquerda.
0017.wav|Vou virar à direita.
0018.wav|Parei.
0019.wav|Já te reconheço! Olá outra vez.
0020.wav|Ainda não te conheço. Como te chamas?
0021.wav|Estou contente por te ver.
0022.wav|Isso fez-me cócegas nos sensores.
0023.wav|Estou a pensar. Dá-me um momento.
0024.wav|Não sei responder a isso, mas posso tentar descobrir.
0025.wav|Queres brincar comigo?
0026.wav|Queres dar uma volta pela sala?
0027.wav|Vamos jogar a um jogo?
0028.wav|Ganhaste! Muito bem.
0029.wav|Perdi. Jogas outra vez comigo?
0030.wav|Obrigado. És muito simpático.
0031.wav|De nada. Foi um prazer ajudar.
0032.wav|Adeus! Volta depois.
0033.wav|Zero, um, dois, três, quatro, cinco.
0034.wav|Seis, sete, oito, nove, dez.
0035.wav|Onze, doze, treze, catorze, quinze.
0036.wav|Dezasseis, dezassete, dezoito, dezanove, vinte.
0037.wav|Trinta, quarenta, cinquenta, sessenta.
0038.wav|Setenta, oitenta, noventa, cem.
0039.wav|Duzentos e cinquenta e três.
0040.wav|Mil novecentos e noventa e nove.
